filename,label_raw,video_id,label
11_analCanal_315s.jpg,analCanal,11,9
11_analCanal_316s.jpg,analCanal,11,9
11_analCanal_317s.jpg,analCanal,11,9
11_ascendingColon_17s.jpg,ascendingColon,11,2
11_ascendingColon_18s.jpg,ascendingColon,11,2
11_ascendingColon_19s.jpg,ascendingColon,11,2
11_ascendingColon_20s.jpg,ascendingColon,11,2
11_ascendingColon_21s.jpg,ascendingColon,11,2
11_ascendingColon_22s.jpg,ascendingColon,11,2
11_ascendingColon_23s.jpg,ascendingColon,11,2
11_ascendingColon_33s.jpg,ascendingColon,11,2
11_ascendingColon_34s.jpg,ascendingColon,11,2
11_ascendingColon_35s.jpg,ascendingColon,11,2
11_ascendingColon_36s.jpg,ascendingColon,11,2
11_ascendingColon_37s.jpg,ascendingColon,11,2
11_ascendingColon_38s.jpg,ascendingColon,11,2
11_ascendingColon_39s.jpg,ascendingColon,11,2
11_ascendingColon_40s.jpg,ascendingColon,11,2
11_ascendingColon_41s.jpg,ascendingColon,11,2
11_ascendingColon_42s.jpg,ascendingColon,11,2
11_ascendingColon_43s.jpg,ascendingColon,11,2
11_ascendingColon_44s.jpg,ascendingColon,11,2
11_ascendingColon_45s.jpg,ascendingColon,11,2
11_ascendingColon_46s.jpg,ascendingColon,11,2
11_ascendingColon_47s.jpg,ascendingColon,11,2
11_ascendingColon_48s.jpg,ascendingColon,11,2
11_ascendingColon_49s.jpg,ascendingColon,11,2
11_ascendingColon_50s.jpg,ascendingColon,11,2
11_ascendingColon_51s.jpg,ascendingColon,11,2
11_ascendingColon_52s.jpg,ascendingColon,11,2
11_ascendingColon_53s.jpg,ascendingColon,11,2
11_ascendingColon_55s.jpg,ascendingColon,11,2
11_ascendingColon_54s.jpg,ascendingColon,11,2
11_ascendingColon_56s.jpg,ascendingColon,11,2
11_ascendingColon_57s.jpg,ascendingColon,11,2
11_ascendingColon_58s.jpg,ascendingColon,11,2
11_ascendingColon_59s.jpg,ascendingColon,11,2
11_ascendingColon_60s.jpg,ascendingColon,11,2
11_ascendingColon_61s.jpg,ascendingColon,11,2
11_ascendingColon_62s.jpg,ascendingColon,11,2
11_ascendingColon_63s.jpg,ascendingColon,11,2
11_ascendingColon_64s.jpg,ascendingColon,11,2
11_ascendingColon_65s.jpg,ascendingColon,11,2
